theta,I_P,I_O
0, 14.376, 0.0188
10, 14.421, 0.0186
20, 14.389, 0.0191
30, 14.421, 0.0194
40, 14.442, 0.0198
50, 14.422, 0.0193
60, 14.427, 0.0193
70, 14.420, 0.0192
80, 14.402, 0.0186
90, 14.350, 0.0185
100, 14.303, 0.0178
110, 14.267, 0.0174
120, 14.194, 0.0172
130, 14.044, 0.0170
140, 14.128, 0.0167
150, 14.103, 0.0164
160, 14.090, 0.0163
170, 14.107, 0.0161
180, 14.111, 0.0165
190, 14.090, 0.0168
200, 14.090, 0.0170
210, 14.090, 0.0172
220, 14.124, 0.0168
230, 14.103, 0.0173
240, 14.109, 0.0174
250, 14.137, 0.0181
260, 14.162, 0.0187
270, 14.233, 0.0185
280, 14.267, 0.0179
290, 14.282, 0.0184
300, 14.261, 0.0179
310, 14.301, 0.0173
320, 14.311, 0.0176
330, 14.322, 0.0183
340, 14.292, 0.0187
350, 14.330, 0.0188
360, 14.340, 0.0199
