theta_deg,I_P,I_O
0.000000000000000000e+00,9.902183547871969971e-01,5.250210075159292581e-04
1.000000000000000000e+01,9.654937830508559804e-01,5.514871656507952524e-02
2.000000000000000000e+01,8.512473571504705072e-01,1.414845088033261089e-01
3.000000000000000000e+01,7.538502523174889225e-01,2.716180220456526628e-01
4.000000000000000000e+01,6.126715493882826102e-01,3.758048479660135444e-01
5.000000000000000000e+01,6.423985477903594310e-01,3.666868246293574218e-01
6.000000000000000000e+01,7.107189050564035604e-01,2.882759726477501783e-01
7.000000000000000000e+01,7.964401817209756373e-01,1.649842942739687957e-01
8.000000000000000000e+01,9.353739905505582541e-01,4.265982773586612237e-02
9.000000000000000000e+01,1.005173783962747924e+00,1.550037362414309790e-02
1.000000000000000000e+02,9.442683195610578339e-01,7.379311163315419031e-02
1.100000000000000000e+02,8.414679995854720262e-01,1.363324944105007430e-01
1.200000000000000000e+02,7.319063064242774530e-01,2.789386921401046382e-01
1.300000000000000000e+02,6.306971611727432148e-01,3.753498057680088595e-01
1.400000000000000000e+02,6.381580204904928610e-01,3.602714006740159181e-01
1.500000000000000000e+02,7.103360490000305560e-01,2.993745304628319115e-01
1.600000000000000000e+02,8.323578553039913119e-01,1.163228197264920272e-01
1.700000000000000000e+02,9.074749343256731660e-01,3.388843353079852572e-02
1.800000000000000000e+02,9.873655275289151545e-01,1.543595423284868651e-02
1.900000000000000000e+02,9.248309649804793420e-01,4.331384282753628773e-02
2.000000000000000000e+02,8.360601591539223998e-01,1.711312312127956370e-01
2.100000000000000000e+02,7.264309460811816388e-01,2.569822918469868434e-01
2.200000000000000000e+02,6.289880184398589646e-01,3.785317098376881351e-01
2.300000000000000000e+02,6.144295782239338477e-01,3.691975814370932474e-01
2.400000000000000000e+02,7.214190981767822919e-01,2.775755596370259037e-01
2.500000000000000000e+02,8.232036632686929867e-01,1.704822699936017760e-01
2.600000000000000000e+02,9.492939884894635583e-01,3.870717536320211066e-02
2.700000000000000000e+02,1.019035759714945755e+00,3.483987538895891040e-03
2.800000000000000000e+02,9.539641431774898983e-01,1.679440038098397106e-02
2.900000000000000000e+02,8.330093375629668007e-01,1.521212195969644521e-01
3.000000000000000000e+02,7.167719479827681095e-01,2.650735076588602857e-01
3.100000000000000000e+02,6.184249847603635608e-01,3.777477947368540478e-01
3.200000000000000000e+02,6.219665928892916806e-01,3.848969833557895348e-01
3.300000000000000000e+02,7.042229220006795964e-01,2.677796315671224781e-01
3.400000000000000000e+02,8.584945494293595436e-01,1.399397688088387381e-01
3.500000000000000000e+02,9.373731803748083236e-01,4.677737799686315645e-02
3.600000000000000000e+02,1.027978722219444530e+00,2.257160657329132514e-02
