intersection,xIdx,yIdx,detectorX,detectorY,corners,gridX,gridY
X-5Y-6,-5,-6,-4.95748052079079,-24.2454993486789,4,-1.6687368,1.390614
X-5Y-5,-5,-5,-2.48074664040764,-22.4603717660381,4,-1.390614,1.390614
X-5Y-4,-5,-4,0.159648253765881,-20.5845720328024,4,-1.1124912,1.390614
X-5Y-3,-5,-3,2.78332956628869,-18.7371018926845,4,-0.8343684,1.390614
X-5Y-2,-5,-2,5.20933368968604,-17.034924506771,4,-0.5562456,1.390614
X-5Y-1,-5,-1,7.70452015010563,-15.2784083204606,4,-0.2781228,1.390614
X-5Y+0,-5,0,10.2230183631083,-13.4777378807139,4,-8.51505491974749e-17,1.390614
X-5Y+1,-5,1,12.8740196800163,-11.539302243512,4,0.2781228,1.390614
X-5Y+2,-5,2,15.554934125745,-9.54963619732758,4,0.5562456,1.390614
X-5Y+3,-5,3,18.2970828190391,-7.51137914756122,4,0.8343684,1.390614
X-5Y+4,-5,4,21.0496967620604,-5.46939276753437,4,1.1124912,1.390614
X-5Y+5,-5,5,23.1939966267899,-3.88343027556362,4,1.390614,1.390614
X-4Y-6,-4,-6,-6.47924230336857,-21.1471213832764,4,-1.6687368,1.1124912
X-4Y-5,-4,-5,-3.96881610968253,-19.5441262857845,4,-1.390614,1.1124912
X-4Y-4,-4,-4,-1.40912158538896,-17.9132384438186,4,-1.1124912,1.1124912
X-4Y-3,-4,-3,1.20861182372152,-16.2350517108484,4,-0.8343684,1.1124912
X-4Y-2,-4,-2,3.69426601599989,-14.5763734907586,4,-0.5562456,1.1124912
X-4Y-1,-4,-1,6.12352172515673,-12.849361828723,4,-0.2781228,1.1124912
X-4Y+0,-4,0,8.5497763786911,-11.0167870368324,4,-6.81204393579799e-17,1.1124912
X-4Y+1,-4,1,11.0829774609661,-9.02310546469982,4,0.2781228,1.1124912
X-4Y+2,-4,2,13.6804650199532,-6.93859192031555,4,0.5562456,1.1124912
X-4Y+3,-4,3,16.2576250759151,-4.8840200087126,4,0.8343684,1.1124912
X-4Y+4,-4,4,18.9389407208769,-2.77461866643465,4,1.1124912,1.1124912
X-4Y+5,-4,5,21.2679650720715,-0.927647521363423,4,1.390614,1.1124912
X-3Y-6,-3,-6,-8.02609855718118,-18.0303242335139,4,-1.6687368,0.8343684
X-3Y-5,-3,-5,-5.50213634073469,-16.5592366223769,4,-1.390614,0.8343684
X-3Y-4,-3,-4,-3.03669583159595,-15.1147587498025,4,-1.1124912,0.8343684
X-3Y-3,-3,-3,-0.462472225053209,-13.5733413941178,4,-0.8343684,0.8343684
X-3Y-2,-3,-2,2.08043147986667,-11.9652330998437,4,-0.5562456,0.8343684
X-3Y-1,-3,-1,4.51581418391719,-10.2729061574717,4,-0.2781228,0.8343684
X-3Y+0,-3,0,6.89550405457611,-8.45253323385396,4,-5.10903295184849e-17,0.8343684
X-3Y+1,-3,1,9.3670654603016,-6.46110988685808,4,0.2781228,0.8343684
X-3Y+2,-3,2,11.8812683040113,-4.44667293728038,4,0.5562456,0.8343684
X-3Y+3,-3,3,14.4303693074323,-2.47056981374272,4,0.8343684,0.8343684
X-3Y+4,-3,4,17.1070066567968,-0.452894931683537,4,1.1124912,0.8343684
X-3Y+5,-3,5,19.6970261403087,1.48343049632634,4,1.390614,0.8343684
X-2Y-6,-2,-6,-9.40742595980023,-15.2606300182362,4,-1.6687368,0.5562456
X-2Y-5,-2,-5,-6.9064232316525,-13.8092591152537,4,-1.390614,0.5562456
X-2Y-4,-2,-4,-4.52438270655439,-12.4089808304372,4,-1.1124912,0.5562456
X-2Y-3,-2,-3,-2.06358462417457,-10.9139281713835,4,-0.8343684,0.5562456
X-2Y-2,-2,-2,0.464609611620865,-9.28992907979697,4,-0.5562456,0.5562456
X-2Y-1,-2,-1,2.91575857008446,-7.58643322316215,4,-0.2781228,0.5562456
X-2Y+0,-2,0,5.27248834338026,-5.83939275781587,4,-3.40602196789899e-17,0.5562456
X-2Y+1,-2,1,7.74477759502446,-3.96317298686699,4,0.2781228,0.5562456
X-2Y+2,-2,2,10.2017846416465,-2.07686263318771,4,0.5562456,0.5562456
X-2Y+3,-2,3,12.7310822824857,-0.0925932020472177,4,0.8343684,0.5562456
X-2Y+4,-2,4,15.2879430480275,1.95419971572038,4,1.1124912,0.5562456
X-2Y+5,-2,5,17.979295930495,4.12146252755558,4,1.390614,0.5562456
X-1Y-6,-1,-6,-10.8512760563936,-12.3852688537512,4,-1.6687368,0.2781228
X-1Y-5,-1,-5,-8.33301522636511,-10.9871733768129,4,-1.390614,0.2781228
X-1Y-4,-1,-4,-5.95980165450376,-9.60185507750387,4,-1.1124912,0.2781228
X-1Y-3,-1,-3,-3.59800598533976,-8.14036448514686,4,-0.8343684,0.2781228
X-1Y-2,-1,-2,-1.13013751543832,-6.54965178530388,4,-0.5562456,0.2781228
X-1Y-1,-1,-1,1.33213371344215,-4.92249732533647,4,-0.2781228,0.2781228
X-1Y+0,-1,0,3.69304090263706,-3.31359099703947,4,-1.7030109839495e-17,0.2781228
X-1Y+1,-1,1,6.17304575348335,-1.54927572421018,4,0.2781228,0.2781228
X-1Y+2,-1,2,8.62547807813099,0.294769089947577,4,0.5562456,0.2781228
X-1Y+3,-1,3,11.1252524244992,2.2755219158238,4,0.8343684,0.2781228
X-1Y+4,-1,4,13.6336182909696,4.35166847002077,4,1.1124912,0.2781228
X-1Y+5,-1,5,16.3385975448057,6.64885531723851,4,1.390614,0.2781228
X+0Y-6,0,-6,-12.3653370762477,-9.43755828427155,4,-1.6687368,-1.0218065903697e-16
X+0Y-5,0,-5,-9.82756033354953,-8.08545864963138,4,-1.390614,-8.51505491974749e-17
X+0Y-4,0,-4,-7.40159472401859,-6.73099204858391,4,-1.1124912,-6.81204393579799e-17
