intersection,xIdx,yIdx,detectorX,detectorY,corners,gridX,gridY
X-5Y-6,-5,-6,-7.18549471388392,-23.6111854752152,4,-1.6687368,1.390614
X-5Y-5,-5,-5,-4.33386476106406,-21.8846760037648,4,-1.390614,1.390614
X-5Y-4,-5,-4,-1.59221321466669,-20.2726783704975,4,-1.1124912,1.390614
X-5Y-3,-5,-3,0.938843163347201,-18.8062378144133,4,-0.8343684,1.390614
X-5Y-2,-5,-2,3.38568424780376,-17.3948479754744,4,-0.5562456,1.390614
X-5Y-1,-5,-1,6.0470873636795,-15.8270333601558,4,-0.2781228,1.390614
X-5Y+0,-5,0,8.76804583799317,-14.1087625689558,4,-8.51505491974749e-17,1.390614
X-5Y+1,-5,1,11.472404887029,-12.2502506127211,4,0.2781228,1.390614
X-5Y+2,-5,2,14.2230309815407,-10.278149747184,4,0.5562456,1.390614
X-5Y+3,-5,3,16.9853990947029,-8.29508204489316,4,0.8343684,1.390614
X-5Y+4,-5,4,19.7195283053736,-6.35848265205297,4,1.1124912,1.390614
X-5Y+5,-5,5,22.4173079485047,-4.49215965041459,4,1.390614,1.390614
X-5Y+6,-5,6,24.7674166054967,-2.9124678226405,2,1.6687368,1.390614
X-4Y-6,-4,-6,-8.05165290914724,-21.0702942309188,4,-1.6687368,1.1124912
X-4Y-5,-4,-5,-5.45386061034115,-19.4401329206987,4,-1.390614,1.1124912
X-4Y-4,-4,-4,-2.92452526554941,-17.8840172756835,4,-1.1124912,1.1124912
X-4Y-3,-4,-3,-0.524611558613205,-16.4082316701462,4,-0.8343684,1.1124912
X-4Y-2,-4,-2,1.86351385758517,-14.8714680603677,4,-0.5562456,1.1124912
X-4Y-1,-4,-1,4.3211298246217,-13.1894350767677,4,-0.2781228,1.1124912
X-4Y+0,-4,0,6.88856983355299,-11.3421407431572,4,-6.81204393579799e-17,1.1124912
X-4Y+1,-4,1,9.4651337407029,-9.42868115094895,4,0.2781228,1.1124912
X-4Y+2,-4,2,12.1254228585706,-7.46170678033186,4,0.5562456,1.1124912
X-4Y+3,-4,3,14.8038675346783,-5.54702343475618,4,0.8343684,1.1124912
X-4Y+4,-4,4,17.5486281246867,-3.63512200861519,4,1.1124912,1.1124912
X-4Y+5,-4,5,20.3628086342922,-1.68102060892512,4,1.390614,1.1124912
X-4Y+6,-4,6,22.5546238438069,-0.164648693347629,2,1.6687368,1.1124912
X-3Y-6,-3,-6,-9.27272630980092,-18.1848172477741,4,-1.6687368,0.8343684
X-3Y-5,-3,-5,-6.77783268527872,-16.6427327525059,4,-1.390614,0.8343684
X-3Y-4,-3,-4,-4.39040636495282,-15.1697818214614,4,-1.1124912,0.8343684
X-3Y-3,-3,-3,-2.03204932363299,-13.694176461685,4,-0.8343684,0.8343684
X-3Y-2,-3,-2,0.322969221976328,-12.1775137224118,4,-0.5562456,0.8343684
X-3Y-1,-3,-1,2.73368089139587,-10.5525419690002,4,-0.2781228,0.8343684
X-3Y+0,-3,0,5.23495296497344,-8.7635278872433,4,-5.10903295184849e-17,0.8343684
X-3Y+1,-3,1,7.78187126590796,-6.88183084865257,4,0.2781228,0.8343684
X-3Y+2,-3,2,10.3468358383919,-4.98957080981721,4,0.5562456,0.8343684
X-3Y+3,-3,3,12.9237721144093,-3.10294435682913,4,0.8343684,0.8343684
X-3Y+4,-3,4,15.6204624957598,-1.20338796853556,4,1.1124912,0.8343684
X-3Y+5,-3,5,18.4184791149569,0.709642435591058,4,1.390614,0.8343684
X-3Y+6,-3,6,20.6965351661603,2.26647724793856,2,1.6687368,0.8343684
X-2Y-6,-2,-6,-10.6514993229841,-15.2386213357459,4,-1.6687368,0.5562456
X-2Y-5,-2,-5,-8.14057498745364,-13.7777232677965,4,-1.390614,0.5562456
X-2Y-4,-2,-4,-5.78430297596551,-12.3887209371164,4,-1.1124912,0.5562456
X-2Y-3,-2,-3,-3.45359406728864,-10.9866101167619,4,-0.8343684,0.5562456
X-2Y-2,-2,-2,-1.14403670032215,-9.55749391820486,4,-0.5562456,0.5562456
X-2Y-1,-2,-1,1.29141409068367,-7.97268077666787,4,-0.2781228,0.5562456
X-2Y+0,-2,0,3.74426224645944,-6.29114382728664,4,-3.40602196789899e-17,0.5562456
X-2Y+1,-2,1,6.27488093281973,-4.50490057360251,4,0.2781228,0.5562456
X-2Y+2,-2,2,8.76630644007512,-2.72639140329757,4,0.5562456,0.5562456
X-2Y+3,-2,3,11.3301494862019,-0.856132315012322,4,0.8343684,0.5562456
X-2Y+4,-2,4,13.8849715809372,1.02349833786644,4,1.1124912,0.5562456
X-2Y+5,-2,5,16.5434765598966,2.96682618776519,4,1.390614,0.5562456
X-2Y+6,-2,6,18.9114735066553,4.69254381013157,2,1.6687368,0.5562456
X-1Y-6,-1,-6,-12.059059428776,-12.3161890181828,4,-1.6687368,0.2781228
X-1Y-5,-1,-5,-9.50333927416873,-10.9200284796122,4,-1.390614,0.2781228
X-1Y-4,-1,-4,-7.17152231224252,-9.6139335876905,4,-1.1124912,0.2781228
X-1Y-3,-1,-3,-4.88737148771769,-8.28617771529304,4,-0.8343684,0.2781228
X-1Y-2,-1,-2,-2.56270265389109,-6.89621011739897,4,-0.5562456,0.2781228
X-1Y-1,-1,-1,-0.136821610471377,-5.4247651759171,4,-0.2781228,0.2781228
X-1Y+0,-1,0,2.25894303778415,-3.91343031857718,4,-1.7030109839495e-17,0.2781228
X-1Y+1,-1,1,4.81904154371415,-2.19951196145671,4,0.2781228,0.2781228
X-1Y+2,-1,2,7.28555155720001,-0.471441764845362,4,0.5562456,0.2781228
X-1Y+3,-1,3,9.82105680531551,1.36631189573904,4,0.8343684,0.2781228
X-1Y+4,-1,4,12.2859193272252,3.22455038284572,4,1.1124912,0.2781228
X-1Y+5,-1,5,14.834546691339,5.16941273706712,4,1.390614,0.2781228
X-1Y+6,-1,6,17.2632826767124,6.99122452647482,2,1.6687368,0.2781228
X+0Y-6,0,-6,-13.4720706849681,-9.31996950539107,4,-1.6687368,-1.0218065903697e-16
X+0Y-5,0,-5,-10.900975905866,-8.01914972871968,4,-1.390614,-8.51505491974749e-17
X+0Y-4,0,-4,-8.57493720475427,-6.81239143192584,4,-1.1124912,-6.81204393579799e-17
X+0Y-3,0,-3,-6.3084320419544,-5.59124130071303,4,-0.8343684,-5.10903295184849e-17
X+0Y-2,0,-2,-3.97519890701417,-4.2838425530228,4,-0.5562456,-3.40602196789899e-17
X+0Y-1,0,-1,-1.59449141385408,-2.90476428797434,4,-0.2781228,-1.7030109839495e-17
X+0Y+0,0,0,0.768474907877768,-1.47000360649167,4,0,0
X+0Y+1,0,1,3.32133225193589,0.173944465263818,4,0.2781228,1.7030109839495e-17
X+0Y+2,0,2,5.79094433848692,1.87568777772525,4,0.5562456,3.40602196789899e-17
X+0Y+3,0,3,8.27211492944654,3.7155050365689,4,0.8343684,5.10903295184849e-17
X+0Y+4,0,4,10.7038512362144,5.61086769734658,4,1.1124912,6.81204393579799e-17
X+0Y+5,0,5,13.1631500780557,7.55497250119926,4,1.390614,8.51505491974749e-17
X+0Y+6,0,6,15.5400471875171,9.42814024104944,2,1.6687368,1.0218065903697e-16
X+1Y-6,1,-6,-14.8666455412508,-6.40057077867926,4,-1.6687368,-0.2781228
X+1Y-5,1,-5,-12.315775657272,-5.21227587990129,4,-1.390614,-0.2781228
X+1Y-4,1,-4,-9.97759484222812,-4.07615999546209,4,-1.1124912,-0.2781228
X+1Y-3,1,-3,-7.73336690305955,-2.91108247781221,4,-0.8343684,-0.2781228
X+1Y-2,1,-2,-5.44544838404218,-1.66627928606069,4,-0.5562456,-0.2781228
X+1Y-1,1,-1,-3.07406910639599,-0.347605649953896,4,-0.2781228,-0.2781228
X+1Y+0,1,0,-0.687186034324244,1.04519784814804,4,1.7030109839495e-17,-0.2781228
X+1Y+1,1,1,1.79759629220073,2.61587631954496,4,0.2781228,-0.2781228
X+1Y+2,1,2,4.29869563097543,4.32088774030985,4,0.5562456,-0.2781228
X+1Y+3,1,3,6.78179973472302,6.13378125968848,4,0.8343684,-0.2781228
X+1Y+4,1,4,9.20423740808552,8.00670406976443,4,1.1124912,-0.2781228
X+1Y+5,1,5,11.6342057709102,9.9731222273838,4,1.390614,-0.2781228
X+1Y+6,1,6,13.8636993302823,11.7998167576134,2,1.6687368,-0.2781228
X+2Y-6,2,-6,-16.3446204582688,-3.65059631921132,4,-1.6687368,-0.5562456
X+2Y-5,2,-5,-13.7172268811045,-2.51132762758026,4,-1.390614,-0.5562456
X+2Y-4,2,-4,-11.3292173108869,-1.40972494354781,4,-1.1124912,-0.5562456
X+2Y-3,2,-3,-9.05654119739608,-0.273589302784119,4,-0.8343684,-0.5562456
X+2Y-2,2,-2,-6.80915078026035,0.923904153638864,4,-0.5562456,-0.5562456
X+2Y-1,2,-1,-4.56254950915527,2.18159486573338,4,-0.2781228,-0.5562456
X+2Y+0,2,0,-2.12467546936095,3.63150323247498,4,3.40602196789899e-17,-0.5562456
X+2Y+1,2,1,0.302675628136387,5.17467204331544,4,0.2781228,-0.5562456
X+2Y+2,2,2,2.78571932267666,6.82442436155891,4,0.5562456,-0.5562456
X+2Y+3,2,3,5.295642221347,8.59479774022579,4,0.8343684,-0.5562456
X+2Y+4,2,4,7.72898109704438,10.4906775949913,4,1.1124912,-0.5562456
X+2Y+5,2,5,10.1590696772108,12.5752177659648,4,1.390614,-0.5562456
