f (Hz)  A (mm)  fase (deg)
1.00    6       -120.4
1.10    8       -123.0
1.20    9       -119.2
1.30    9       -116.3
1.40    13      -116.1
1.50    16      -110.6
1.60    24      -115.2
1.61    24      -113.2
1.62    25      -113.0
1.63    28      -107.5
1.64    30      -106.6
1.65    40      -105.5
1.67    42      -86.0
1.69    45      -72.5
1.70    48      -60.1
1.71    40      -55.6
1.72    36      -53.5
1.73    32      -40.1
1.74    30      -38.2
1.75    28      -25.1
1.76    25      -36.1
1.77    22      -33.9
1.78    18      -36.8
1.79    16      -37.6
1.80    10      -37.5
1.90    8       -30
