f (Hz)  A (mm)  fase (deg)
1.00    14      22.5
1.10    15      24.4
1.20    16      27.5
1.30    17      33.2
1.40    18      44.3
1.50    20      55.2
1.51    20      61.5
1.52    21      61.2
1.53    21      62.7
1.54    21      63.2
1.55    21      68.1
1.56    21      69.2
1.57    21      72.6
1.58    22      75.9
1.59    22      76.9
1.60    22      77.0
1.61    21      81.0
1.62    21      82.2
1.63    21      83.8
1.64    20      93.8
1.65    20      87.7
1.66    22      91.5
1.67    22      93.0
1.68    20      95.2
1.69    20      95.8
1.70    20      99.7
1.80    16      123.0
