Channel              :,CH1
Frequency            :,1.012kHz
Period               :,0.989ms
PK-PK                :,234.4mV
Probe attenuation    :,1X
Voltage per ADC value:,0.244141mV
Time interval        :,1.00000us

index,CH1_Voltage(mV)
1,-66.406250
2,-66.406250
3,-62.500000
4,-62.500000
5,-62.500000
6,-62.500000
7,-62.500000
8,-62.500000
9,-58.593750
10,-58.593750
11,-58.593750
12,-58.593750
13,-58.593750
14,-58.593750
15,-54.687500
16,-54.687500
17,-54.687500
18,-54.687500
19,-54.687500
20,-50.781250
21,-50.781250
22,-50.781250
23,-50.781250
24,-50.781250
25,-50.781250
26,-46.875000
27,-46.875000
28,-46.875000
29,-46.875000
30,-42.968750
31,-42.968750
32,-42.968750
33,-42.968750
34,-42.968750
35,-42.968750
36,-39.062500
37,-39.062500
38,-39.062500
39,-39.062500
40,-39.062500
41,-39.062500
42,-35.156250
43,-35.156250
44,-35.156250
45,-35.156250
46,-31.250000
47,-31.250000
48,-31.250000
49,-31.250000
50,-31.250000
51,-27.343750
52,-31.250000
53,-27.343750
54,-27.343750
55,-27.343750
56,-27.343750
57,-23.437500
58,-23.437500
59,-23.437500
60,-23.437500
61,-23.437500
62,-23.437500
63,-19.531250
64,-19.531250
65,-19.531250
66,-19.531250
67,-15.625000
68,-15.625000
69,-15.625000
70,-15.625000
71,-15.625000
72,-11.718750
73,-11.718750
74,-11.718750
75,-11.718750
76,-11.718750
77,-11.718750
78,-11.718750
79,-7.812500
80,-7.812500
81,-7.812500
82,-7.812500
83,-3.906250
84,-3.906250
85,-3.906250
86,-3.906250
87,-3.906250
88,-3.906250
89,0.000000
90,0.000000
91,0.000000
92,0.000000
93,0.000000
94,3.906250
95,3.906250
96,3.906250
97,3.906250
98,3.906250
99,7.812500
100,7.812500
101,7.812500
102,7.812500
103,7.812500
104,7.812500
105,11.718750
106,11.718750
107,11.718750
108,11.718750
109,11.718750
110,15.625000
111,15.625000
112,15.625000
113,15.625000
114,15.625000
115,19.531250
116,19.531250
117,19.531250
118,19.531250
119,19.531250
120,23.437500
121,23.437500
122,23.437500
123,23.437500
124,23.437500
125,23.437500
126,27.343750
127,27.343750
128,27.343750
129,27.343750
130,27.343750
131,27.343750
132,27.343750
133,27.343750
134,31.250000
135,31.250000
136,31.250000
137,31.250000
