Channel              :,CH1
Frequency            :,1.010kHz
Period               :,0.990ms
PK-PK                :,234.4mV
Probe attenuation    :,1X
Voltage per ADC value:,0.244141mV
Time interval        :,1.00000us

index,CH1_Voltage(mV)
1,-58.593750
2,-58.593750
3,-54.687500
4,-54.687500
5,-54.687500
6,-54.687500
7,-54.687500
8,-54.687500
9,-50.781250
10,-50.781250
11,-50.781250
12,-50.781250
13,-50.781250
14,-50.781250
15,-46.875000
16,-46.875000
17,-46.875000
18,-46.875000
19,-46.875000
20,-46.875000
21,-42.968750
22,-42.968750
23,-42.968750
24,-42.968750
25,-39.062500
26,-39.062500
27,-39.062500
28,-39.062500
29,-39.062500
30,-39.062500
31,-35.156250
32,-35.156250
33,-35.156250
34,-35.156250
35,-35.156250
36,-31.250000
37,-31.250000
38,-31.250000
39,-31.250000
40,-31.250000
41,-31.250000
42,-27.343750
43,-27.343750
44,-27.343750
45,-27.343750
46,-27.343750
47,-23.437500
48,-23.437500
49,-23.437500
50,-23.437500
51,-23.437500
52,-23.437500
53,-19.531250
54,-19.531250
55,-19.531250
56,-19.531250
57,-15.625000
58,-15.625000
59,-15.625000
60,-15.625000
61,-15.625000
62,-15.625000
63,-15.625000
64,-11.718750
65,-11.718750
66,-11.718750
67,-11.718750
68,-11.718750
69,-7.812500
70,-7.812500
71,-7.812500
72,-7.812500
73,-7.812500
74,-3.906250
75,-3.906250
76,-3.906250
77,-3.906250
78,-3.906250
79,-3.906250
80,0.000000
81,0.000000
82,0.000000
83,0.000000
84,0.000000
85,0.000000
86,3.906250
87,3.906250
88,3.906250
89,3.906250
90,3.906250
91,7.812500
92,7.812500
93,7.812500
94,7.812500
95,7.812500
96,11.718750
97,11.718750
98,11.718750
99,11.718750
100,11.718750
101,11.718750
102,15.625000
103,15.625000
104,15.625000
105,15.625000
106,15.625000
107,15.625000
108,19.531250
109,19.531250
110,19.531250
111,19.531250
112,19.531250
113,19.531250
114,19.531250
115,23.437500
116,23.437500
117,23.437500
118,23.437500
119,23.437500
120,27.343750
121,27.343750
122,27.343750
123,27.343750
124,27.343750
125,27.343750
126,31.250000
127,31.250000
128,31.250000
129,31.250000
130,31.250000
131,31.250000
132,31.250000
133,35.156250
134,35.156250
135,35.156250
136,35.156250
137,35.156250
138,39.062500
139,35.156250
140,39.062500
141,39.062500
142,39.062500
143,39.062500
144,39.062500
145,39.062500
146,42.968750
147,42.968750
148,42.968750
149,42.968750
150,42.968750
151,46.875000
152,46.875000
153,46.875000
154,46.875000
155,46.875000
156,46.875000
157,46.875000
158,46.875000
159,50.781250
160,50.781250
161,50.781250
162,50.781250
163,50.781250
164,50.781250
165,50.781250
166,50.781250
167,50.781250
168,54.687500
169,54.687500
170,54.687500
171,54.687500
172,54.687500
173,58.593750
174,58.593750
175,58.593750
176,58.593750
177,58.593750
178,58.593750
179,58.593750
180,58.593750
181,58.593750
182,62.500000
183,62.500000
184,62.500000
185,62.500000
186,62.500000
187,62.500000
188,62.500000
189,62.500000
190,66.406250
191,66.406250
192,66.406250
193,66.406250
194,66.406250
195,66.406250
196,66.406250
197,66.406250
198,66.406250
199,70.312500
200,70.312500
201,70.312500
202,70.312500
203,70.312500
204,70.312500
205,70.312500
206,70.312500
207,70.312500
208,70.312500
209,74.218750
210,74.218750
211,74.218750
212,74.218750
213,74.218750
214,74.218750
215,74.218750
216,74.218750
217,78.125000
218,78.125000
219,78.125000
220,78.125000
221,78.125000
222,78.125000
223,78.125000
224,78.125000
225,78.125000
226,78.125000
227,78.125000
228,78.125000
229,78.125000
