Channel              :,CH1
Frequency            :,1.980kHz
Period               :,0.505ms
PK-PK                :,252.0mV
Probe attenuation    :,1X
Voltage per ADC value:,0.122070mV
Time interval        :,1.00000us

index,CH1_Voltage(mV)
1,62.500000
2,62.500000
3,62.500000
4,64.453125
5,66.406250
6,66.406250
7,68.359375
8,68.359375
9,70.312500
10,72.265625
11,72.265625
12,74.218750
13,74.218750
14,76.171875
15,76.171875
16,78.125000
17,80.078125
18,80.078125
19,82.031250
20,82.031250
21,83.984375
22,85.937500
23,85.937500
24,85.937500
25,87.890625
26,87.890625
27,89.843750
28,89.843750
29,91.796875
30,91.796875
31,93.750000
32,95.703125
33,95.703125
34,95.703125
35,97.656250
36,97.656250
37,99.609375
38,99.609375
39,101.562500
40,101.562500
41,101.562500
42,103.515625
43,103.515625
44,103.515625
45,105.468750
46,105.468750
47,107.421875
48,107.421875
49,107.421875
50,107.421875
51,109.375000
52,109.375000
53,111.328125
54,111.328125
55,111.328125
56,111.328125
57,111.328125
58,113.281250
59,113.281250
60,113.281250
61,115.234375
62,115.234375
63,115.234375
64,117.187500
65,117.187500
66,117.187500
67,117.187500
68,117.187500
69,117.187500
70,117.187500
71,119.140625
72,119.140625
73,119.140625
74,119.140625
75,119.140625
76,121.093750
77,121.093750
78,121.093750
79,121.093750
80,121.093750
81,121.093750
82,121.093750
83,121.093750
84,121.093750
85,121.093750
86,121.093750
87,121.093750
88,123.046875
89,121.093750
90,121.093750
91,121.093750
92,123.046875
93,123.046875
94,121.093750
95,123.046875
96,121.093750
97,123.046875
98,121.093750
99,121.093750
100,121.093750
101,121.093750
102,121.093750
103,121.093750
104,121.093750
105,121.093750
106,121.093750
107,121.093750
108,119.140625
109,119.140625
110,119.140625
111,119.140625
112,119.140625
113,119.140625
114,119.140625
115,119.140625
116,117.187500
117,117.187500
118,117.187500
119,117.187500
120,115.234375
121,115.234375
122,115.234375
123,115.234375
124,113.281250
125,113.281250
126,113.281250
127,111.328125
128,111.328125
129,111.328125
130,111.328125
131,111.328125
132,109.375000
133,109.375000
134,107.421875
135,107.421875
136,107.421875
137,105.468750
138,105.468750
139,105.468750
140,103.515625
141,103.515625
142,101.562500
143,101.562500
144,99.609375
145,99.609375
146,99.609375
147,99.609375
148,97.656250
149,97.656250
150,95.703125
151,95.703125
152,93.750000
153,91.796875
154,91.796875
155,91.796875
156,89.843750
157,89.843750
158,87.890625
159,87.890625
160,85.937500
161,85.937500
162,83.984375
163,83.984375
164,82.031250
165,82.031250
166,80.078125
167,78.125000
168,78.125000
169,76.171875
170,76.171875
171,74.218750
172,72.265625
173,72.265625
174,70.312500
175,70.312500
176,68.359375
177,66.406250
178,64.453125
179,64.453125
180,62.500000
181,60.546875
182,60.546875
183,58.593750
184,58.593750
185,56.640625
186,54.687500
187,52.734375
188,52.734375
189,50.781250
190,50.781250
191,48.828125
192,46.875000
193,44.921875
194,42.968750
195,42.968750
196,41.015625
197,39.062500
198,39.062500
199,37.109375
200,35.156250
201,33.203125
202,33.203125
203,31.250000
204,29.296875
205,27.343750
206,27.343750
207,25.390625
208,23.437500
209,21.484375
210,21.484375
211,19.531250
212,17.578125
213,15.625000
214,15.625000
215,13.671875
216,11.718750
217,9.765625
218,7.812500
219,7.812500
220,5.859375
221,3.906250
222,1.953125
223,0.000000
224,-1.953125
225,-1.953125
226,-3.906250
227,-5.859375
228,-7.812500
229,-7.812500
230,-9.765625
231,-11.718750
232,-13.671875
233,-15.625000
234,-17.578125
235,-17.578125
236,-19.531250
237,-21.484375
238,-23.437500
239,-23.437500
240,-25.390625
241,-27.343750
242,-29.296875
243,-29.296875
244,-31.250000
245,-33.203125
246,-35.156250
247,-37.109375
248,-37.109375
249,-39.062500
250,-41.015625
251,-42.968750
252,-44.921875
253,-44.921875
254,-46.875000
255,-48.828125
256,-50.781250
257,-50.781250
258,-52.734375
259,-54.687500
260,-56.640625
261,-56.640625
262,-58.593750
263,-60.546875
264,-62.500000
265,-62.500000
266,-64.453125
267,-66.406250
268,-68.359375
269,-68.359375
270,-70.312500
271,-70.312500
272,-72.265625
273,-74.218750
274,-74.218750
275,-76.171875
276,-78.125000
277,-80.078125
278,-80.078125
279,-82.031250
280,-82.031250
281,-83.984375
282,-85.937500
283,-85.937500
284,-87.890625
285,-87.890625
286,-89.843750
287,-89.843750
288,-91.796875
289,-91.796875
290,-93.750000
291,-95.703125
292,-95.703125
293,-95.703125
294,-97.656250
295,-97.656250
296,-99.609375
297,-101.562500
298,-101.562500
299,-103.515625
300,-103.515625
301,-105.468750
302,-105.468750
303,-105.468750
304,-107.421875
305,-107.421875
306,-107.421875
307,-109.375000
308,-109.375000
309,-111.328125
310,-111.328125
311,-111.328125
312,-113.281250
313,-113.281250
314,-115.234375
315,-115.234375
316,-115.234375
317,-115.234375
318,-117.187500
319,-117.187500
320,-117.187500
321,-117.187500
322,-117.187500
323,-119.140625
324,-119.140625
325,-119.140625
326,-119.140625
327,-121.093750
328,-121.093750
329,-121.093750
330,-121.093750
331,-121.093750
332,-121.093750
333,-121.093750
334,-123.046875
335,-121.093750
336,-123.046875
337,-123.046875
338,-123.046875
339,-123.046875
340,-123.046875
341,-123.046875
342,-123.046875
343,-123.046875
344,-123.046875
345,-123.046875
346,-123.046875
347,-123.046875
348,-123.046875
349,-123.046875
350,-123.046875
351,-123.046875
352,-123.046875
353,-123.046875
354,-121.093750
355,-121.093750
356,-121.093750
357,-121.093750
358,-121.093750
359,-121.093750
360,-119.140625
361,-119.140625
362,-119.140625
363,-119.140625
364,-119.140625
365,-117.187500
366,-117.187500
367,-117.187500
368,-117.187500
369,-117.187500
370,-115.234375
371,-115.234375
372,-115.234375
373,-113.281250
374,-113.281250
375,-113.281250
376,-111.328125
377,-111.328125
378,-111.328125
379,-109.375000
380,-109.375000
381,-109.375000
382,-107.421875
383,-107.421875
384,-105.468750
385,-105.468750
386,-105.468750
387,-103.515625
388,-103.515625
389,-101.562500
390,-101.562500
391,-99.609375
392,-99.609375
393,-97.656250
394,-97.656250
395,-95.703125
396,-95.703125
397,-93.750000
398,-93.750000
399,-91.796875
400,-91.796875
401,-89.843750
402,-89.843750
403,-87.890625
404,-87.890625
405,-85.937500
406,-83.984375
407,-82.031250
408,-82.031250
409,-80.078125
410,-80.078125
411,-78.125000
412,-76.171875
413,-76.171875
414,-74.218750
415,-72.265625
416,-72.265625
417,-70.312500
418,-68.359375
419,-68.359375
420,-66.406250
421,-64.453125
422,-64.453125
423,-62.500000
424,-60.546875
425,-58.593750
426,-58.593750
427,-56.640625
428,-56.640625
429,-52.734375
430,-52.734375
431,-50.781250
432,-48.828125
