Channel              :,CH1
Frequency            :,326.1Hz
Period               :,3.067ms
PK-PK                :,20.51mV
Probe attenuation    :,1X
Voltage per ADC value:,0.012207mV
Time interval        :,10.00000us

index,CH1_Voltage(mV)
1,-0.585938
2,-0.585938
3,-0.585938
4,-0.390625
5,0.195313
6,0.781250
7,0.976563
8,1.562500
9,1.757813
10,1.757813
11,2.148438
12,1.562500
13,3.125000
14,2.734375
15,3.125000
16,3.320313
17,3.906250
18,4.882813
19,5.273438
20,5.664063
21,6.445313
22,6.054688
23,5.664063
24,6.640625
25,6.640625
26,7.031250
27,7.421875
28,7.226563
29,7.226563
30,7.617188
31,8.007813
32,8.007813
33,8.203125
34,8.593750
35,9.375000
36,9.960938
37,9.375000
38,9.375000
39,9.375000
40,9.570313
41,9.375000
42,9.765625
43,9.375000
44,9.765625
45,8.984375
46,10.546875
47,10.937500
48,10.937500
49,10.546875
50,10.546875
51,10.937500
52,10.351563
53,10.546875
54,10.351563
55,10.351563
56,9.765625
57,9.960938
58,9.765625
59,9.375000
60,9.375000
61,9.179688
62,9.179688
63,9.179688
64,9.375000
65,8.984375
66,8.203125
67,8.593750
68,8.203125
69,8.007813
70,8.203125
71,7.812500
72,7.617188
73,7.812500
74,7.617188
75,7.031250
76,7.031250
77,7.031250
78,7.226563
79,6.445313
80,5.664063
81,5.468750
82,5.273438
83,5.273438
84,7.617188
85,7.226563
86,6.835938
87,4.687500
88,4.687500
89,4.492188
90,4.687500
91,4.296875
92,4.101563
93,3.906250
94,3.320313
95,3.125000
96,3.515625
97,3.320313
98,3.320313
99,3.320313
100,2.929688
101,2.734375
102,3.710938
103,3.515625
104,3.320313
105,2.539063
106,2.734375
107,3.320313
108,3.125000
109,3.320313
110,3.125000
111,4.687500
112,3.906250
113,3.710938
114,4.101563
115,4.296875
116,4.492188
117,3.906250
118,5.664063
119,3.710938
120,4.492188
121,6.640625
122,4.296875
123,4.492188
124,5.273438
125,5.859375
126,5.468750
127,6.250000
128,6.640625
129,6.054688
130,5.859375
131,9.960938
132,6.250000
133,6.250000
134,6.054688
135,6.250000
136,7.031250
137,6.835938
138,6.835938
139,7.421875
140,7.617188
141,6.835938
142,7.031250
143,7.031250
144,7.226563
145,7.031250
146,7.421875
147,7.421875
148,7.226563
149,7.617188
150,7.812500
151,7.421875
152,7.617188
153,7.812500
154,7.226563
155,7.031250
156,7.617188
157,7.226563
158,7.031250
159,7.031250
160,6.640625
161,6.835938
162,6.640625
163,6.835938
164,7.031250
165,6.250000
166,6.835938
167,6.445313
168,6.250000
169,5.664063
170,5.859375
171,4.687500
