Channel              :,CH1
Frequency            :,1.771kHz
Period               :,0.565ms
PK-PK                :,136.7mV
Probe attenuation    :,1X
Voltage per ADC value:,0.122070mV
Time interval        :,2.00000us

index,CH1_Voltage(mV)
1,58.593750
2,58.593750
3,58.593750
4,58.593750
5,58.593750
6,58.593750
7,58.593750
8,58.593750
9,58.593750
10,58.593750
11,56.640625
12,56.640625
13,56.640625
14,56.640625
15,54.687500
16,54.687500
17,54.687500
18,54.687500
19,54.687500
20,54.687500
21,52.734375
22,52.734375
23,50.781250
24,50.781250
25,48.828125
26,48.828125
27,48.828125
28,46.875000
29,46.875000
30,46.875000
31,44.921875
32,44.921875
33,42.968750
34,42.968750
35,41.015625
36,41.015625
37,39.062500
38,37.109375
39,37.109375
40,35.156250
41,33.203125
42,33.203125
43,33.203125
44,31.250000
45,29.296875
46,29.296875
47,27.343750
48,25.390625
49,25.390625
50,23.437500
51,23.437500
52,21.484375
53,21.484375
54,19.531250
55,17.578125
56,15.625000
57,15.625000
58,13.671875
59,11.718750
60,11.718750
61,9.765625
62,7.812500
63,5.859375
64,3.906250
65,3.906250
66,1.953125
67,0.000000
68,0.000000
69,-1.953125
70,-3.906250
71,-5.859375
72,-7.812500
73,-7.812500
74,-9.765625
75,-11.718750
76,-11.718750
77,-13.671875
78,-15.625000
79,-17.578125
80,-19.531250
81,-19.531250
82,-21.484375
83,-23.437500
84,-25.390625
85,-27.343750
86,-27.343750
87,-29.296875
88,-31.250000
89,-31.250000
90,-35.156250
91,-35.156250
92,-37.109375
93,-37.109375
94,-39.062500
95,-41.015625
96,-41.015625
97,-42.968750
98,-44.921875
99,-46.875000
100,-46.875000
101,-48.828125
102,-46.875000
103,-50.781250
104,-52.734375
105,-52.734375
106,-54.687500
107,-54.687500
108,-56.640625
109,-58.593750
110,-58.593750
111,-58.593750
112,-60.546875
113,-60.546875
114,-62.500000
115,-62.500000
116,-64.453125
117,-64.453125
118,-64.453125
119,-66.406250
120,-68.359375
121,-68.359375
122,-68.359375
123,-68.359375
124,-70.312500
125,-70.312500
126,-70.312500
127,-70.312500
128,-72.265625
129,-72.265625
130,-72.265625
131,-72.265625
132,-74.218750
133,-72.265625
134,-74.218750
135,-74.218750
136,-74.218750
137,-74.218750
138,-74.218750
139,-74.218750
140,-74.218750
141,-74.218750
142,-74.218750
143,-74.218750
144,-74.218750
145,-74.218750
146,-74.218750
147,-74.218750
148,-74.218750
149,-74.218750
150,-74.218750
151,-74.218750
152,-72.265625
153,-72.265625
154,-72.265625
155,-72.265625
156,-70.312500
157,-70.312500
158,-70.312500
159,-68.359375
160,-68.359375
161,-68.359375
162,-66.406250
163,-66.406250
164,-66.406250
165,-64.453125
166,-64.453125
167,-62.500000
168,-62.500000
169,-62.500000
170,-60.546875
171,-58.593750
172,-58.593750
173,-56.640625
174,-56.640625
175,-54.687500
176,-54.687500
177,-52.734375
178,-52.734375
179,-50.781250
180,-48.828125
181,-48.828125
182,-46.875000
183,-44.921875
184,-44.921875
185,-42.968750
186,-41.015625
187,-41.015625
188,-39.062500
