Channel              :,CH1
Frequency            :,1.771kHz
Period               :,0.565ms
PK-PK                :,31.25mV
Probe attenuation    :,1X
Voltage per ADC value:,0.122070mV
Time interval        :,2.00000us

index,CH1_Voltage(mV)
1,1.953125
2,1.953125
3,3.906250
4,3.906250
5,3.906250
6,3.906250
7,3.906250
8,3.906250
9,3.906250
10,3.906250
11,3.906250
12,3.906250
13,3.906250
14,3.906250
15,5.859375
16,5.859375
17,5.859375
18,5.859375
19,5.859375
20,5.859375
21,5.859375
22,5.859375
23,5.859375
24,5.859375
25,5.859375
26,5.859375
27,5.859375
28,5.859375
29,5.859375
30,5.859375
31,5.859375
32,5.859375
33,5.859375
34,5.859375
35,5.859375
36,5.859375
37,5.859375
38,5.859375
39,5.859375
40,5.859375
41,5.859375
42,5.859375
43,5.859375
44,5.859375
45,3.906250
46,5.859375
47,3.906250
48,3.906250
49,5.859375
50,5.859375
51,3.906250
52,3.906250
53,3.906250
54,3.906250
55,3.906250
56,3.906250
57,3.906250
58,3.906250
59,3.906250
60,3.906250
61,3.906250
62,3.906250
63,3.906250
64,3.906250
65,3.906250
66,1.953125
67,1.953125
68,1.953125
69,1.953125
70,1.953125
71,1.953125
72,1.953125
73,1.953125
74,1.953125
75,1.953125
76,1.953125
77,1.953125
78,1.953125
79,0.000000
80,0.000000
81,0.000000
82,0.000000
83,0.000000
84,0.000000
85,0.000000
86,0.000000
87,-1.953125
88,-1.953125
89,-1.953125
90,-1.953125
91,-1.953125
92,-1.953125
93,-3.906250
94,-1.953125
95,-3.906250
96,-3.906250
97,-3.906250
98,-3.906250
99,-3.906250
100,-3.906250
101,-5.859375
102,-5.859375
103,-5.859375
104,-5.859375
105,-5.859375
106,-5.859375
107,-7.812500
108,-7.812500
109,-7.812500
110,-7.812500
111,-7.812500
112,-7.812500
113,-7.812500
114,-7.812500
115,-9.765625
116,-9.765625
117,-9.765625
118,-9.765625
119,-9.765625
120,-9.765625
121,-9.765625
122,-9.765625
123,-11.718750
124,-11.718750
125,-11.718750
126,-11.718750
127,-11.718750
128,-11.718750
129,-11.718750
130,-13.671875
131,-13.671875
132,-13.671875
133,-13.671875
134,-13.671875
135,-13.671875
136,-15.625000
137,-13.671875
138,-13.671875
139,-13.671875
140,-13.671875
141,-15.625000
142,-15.625000
143,-15.625000
144,-15.625000
145,-15.625000
146,-15.625000
147,-15.625000
148,-15.625000
149,-17.578125
150,-17.578125
151,-17.578125
152,-15.625000
153,-17.578125
154,-17.578125
155,-17.578125
156,-17.578125
157,-17.578125
158,-17.578125
159,-17.578125
160,-17.578125
161,-19.531250
162,-17.578125
163,-17.578125
164,-17.578125
165,-17.578125
166,-19.531250
167,-19.531250
168,-17.578125
169,-19.531250
170,-19.531250
171,-19.531250
172,-19.531250
173,-19.531250
174,-19.531250
175,-19.531250
176,-19.531250
177,-19.531250
178,-19.531250
179,-19.531250
180,-19.531250
181,-19.531250
182,-19.531250
183,-19.531250
184,-19.531250
185,-17.578125
186,-19.531250
187,-19.531250
188,-19.531250
189,-19.531250
190,-19.531250
191,-17.578125
