Channel              :,CH1
Frequency            :,1.200kHz
Period               :,0.833ms
PK-PK                :,363.3mV
Probe attenuation    :,1X
Voltage per ADC value:,0.244141mV
Time interval        :,2.00000us

index,CH1_Voltage(mV)
1,-58.593750
2,-58.593750
3,-54.687500
4,-54.687500
5,-50.781250
6,-46.875000
7,-46.875000
8,-42.968750
9,-39.062500
10,-39.062500
11,-35.156250
12,-31.250000
13,-27.343750
14,-23.437500
15,-23.437500
16,-19.531250
17,-15.625000
18,-15.625000
19,-11.718750
20,-7.812500
21,-3.906250
22,-3.906250
23,0.000000
24,0.000000
25,3.906250
26,7.812500
27,7.812500
28,11.718750
29,15.625000
30,15.625000
31,19.531250
32,23.437500
33,23.437500
34,27.343750
35,31.250000
36,31.250000
37,35.156250
38,35.156250
39,39.062500
40,39.062500
41,42.968750
42,42.968750
43,46.875000
44,50.781250
45,50.781250
46,54.687500
47,54.687500
48,58.593750
49,58.593750
50,62.500000
51,62.500000
52,62.500000
53,66.406250
54,70.312500
55,70.312500
56,70.312500
57,74.218750
58,74.218750
59,78.125000
60,78.125000
61,82.031250
62,82.031250
63,85.937500
64,85.937500
65,85.937500
66,89.843750
67,89.843750
68,89.843750
69,93.750000
70,93.750000
71,93.750000
72,97.656250
73,97.656250
74,101.562500
75,101.562500
76,101.562500
77,101.562500
78,105.468750
79,105.468750
80,105.468750
81,109.375000
82,109.375000
83,109.375000
84,109.375000
85,113.281250
86,113.281250
87,113.281250
88,113.281250
89,117.187500
90,117.187500
91,117.187500
92,117.187500
93,117.187500
94,117.187500
95,121.093750
96,121.093750
97,121.093750
98,121.093750
99,121.093750
100,121.093750
101,121.093750
102,121.093750
103,125.000000
104,125.000000
105,125.000000
106,125.000000
107,125.000000
108,125.000000
109,125.000000
110,125.000000
111,125.000000
112,125.000000
113,125.000000
114,125.000000
115,125.000000
116,125.000000
117,125.000000
118,125.000000
119,125.000000
120,125.000000
121,125.000000
122,125.000000
123,125.000000
124,125.000000
125,125.000000
126,125.000000
127,125.000000
128,125.000000
129,125.000000
130,121.093750
131,121.093750
132,121.093750
133,121.093750
134,121.093750
135,121.093750
136,121.093750
137,117.187500
138,117.187500
139,117.187500
140,117.187500
141,117.187500
142,117.187500
143,113.281250
144,113.281250
145,113.281250
146,113.281250
147,113.281250
148,109.375000
149,109.375000
150,109.375000
151,105.468750
152,105.468750
153,105.468750
154,105.468750
155,101.562500
156,101.562500
157,101.562500
158,97.656250
159,97.656250
160,97.656250
161,97.656250
162,93.750000
163,93.750000
164,89.843750
165,89.843750
166,89.843750
167,85.937500
168,85.937500
169,82.031250
170,82.031250
171,82.031250
172,78.125000
173,78.125000
174,74.218750
175,74.218750
176,70.312500
177,70.312500
178,70.312500
179,66.406250
180,62.500000
181,62.500000
182,58.593750
183,58.593750
184,54.687500
185,54.687500
186,50.781250
187,50.781250
188,46.875000
189,46.875000
190,42.968750
191,39.062500
192,39.062500
193,35.156250
194,35.156250
195,31.250000
196,27.343750
197,27.343750
198,23.437500
199,23.437500
200,19.531250
201,15.625000
202,15.625000
203,11.718750
204,11.718750
205,7.812500
206,3.906250
207,3.906250
208,0.000000
209,-3.906250
210,-3.906250
211,-7.812500
212,-11.718750
213,-15.625000
214,-15.625000
215,-19.531250
216,-23.437500
217,-23.437500
218,-27.343750
219,-31.250000
220,-31.250000
221,-35.156250
222,-39.062500
223,-42.968750
224,-42.968750
225,-46.875000
226,-50.781250
227,-54.687500
228,-54.687500
229,-58.593750
230,-62.500000
231,-62.500000
232,-66.406250
233,-70.312500
234,-74.218750
235,-74.218750
236,-78.125000
237,-82.031250
238,-85.937500
239,-85.937500
240,-89.843750
241,-89.843750
242,-97.656250
243,-97.656250
244,-101.562500
245,-101.562500
246,-105.468750
247,-109.375000
248,-113.281250
249,-113.281250
250,-117.187500
251,-121.093750
252,-125.000000
253,-125.000000
254,-128.906250
255,-132.812500
256,-132.812500
257,-136.718750
258,-140.625000
259,-140.625000
260,-144.531250
261,-144.531250
262,-148.437500
263,-152.343750
264,-152.343750
265,-156.250000
266,-160.156250
267,-160.156250
268,-164.062500
269,-164.062500
270,-167.968750
271,-167.968750
272,-171.875000
273,-175.781250
274,-175.781250
275,-179.687500
276,-179.687500
277,-183.593750
278,-183.593750
279,-187.500000
280,-187.500000
281,-187.500000
282,-191.406250
283,-195.312500
284,-195.312500
285,-199.218750
286,-199.218750
287,-199.218750
288,-203.125000
289,-203.125000
290,-207.031250
291,-207.031250
292,-207.031250
293,-210.937500
294,-210.937500
295,-214.843750
296,-214.843750
297,-214.843750
298,-218.750000
299,-218.750000
300,-218.750000
301,-218.750000
302,-222.656250
303,-222.656250
304,-222.656250
305,-222.656250
306,-222.656250
307,-226.562500
308,-226.562500
309,-226.562500
310,-226.562500
311,-230.468750
312,-230.468750
313,-230.468750
314,-230.468750
315,-230.468750
316,-230.468750
317,-234.375000
318,-230.468750
319,-230.468750
320,-230.468750
321,-234.375000
322,-234.375000
323,-234.375000
324,-234.375000
325,-234.375000
326,-234.375000
327,-230.468750
328,-234.375000
329,-230.468750
330,-230.468750
331,-230.468750
332,-230.468750
333,-230.468750
334,-230.468750
335,-230.468750
336,-230.468750
337,-230.468750
338,-226.562500
339,-226.562500
340,-226.562500
341,-226.562500
342,-226.562500
343,-226.562500
344,-222.656250
345,-222.656250
346,-222.656250
347,-218.750000
348,-222.656250
349,-218.750000
350,-214.843750
351,-214.843750
352,-214.843750
353,-210.937500
354,-210.937500
355,-210.937500
356,-207.031250
357,-207.031250
358,-207.031250
359,-203.125000
360,-203.125000
361,-199.218750
362,-199.218750
363,-195.312500
364,-195.312500
365,-195.312500
366,-191.406250
367,-187.500000
368,-187.500000
369,-183.593750
370,-183.593750
371,-179.687500
372,-179.687500
373,-175.781250
374,-175.781250
375,-171.875000
376,-171.875000
377,-167.968750
378,-167.968750
379,-164.062500
380,-160.156250
381,-160.156250
382,-156.250000
383,-156.250000
384,-152.343750
385,-148.437500
386,-148.437500
387,-144.531250
388,-140.625000
389,-140.625000
390,-136.718750
391,-136.718750
392,-132.812500
393,-128.906250
394,-128.906250
395,-125.000000
396,-121.093750
397,-121.093750
398,-117.187500
399,-113.281250
400,-109.375000
401,-109.375000
402,-105.468750
403,-101.562500
404,-101.562500
405,-97.656250
406,-93.750000
407,-89.843750
408,-89.843750
409,-85.937500
410,-82.031250
411,-82.031250
412,-78.125000
413,-74.218750
414,-70.312500
415,-70.312500
416,-66.406250
417,-62.500000
418,-58.593750
419,-58.593750
420,-54.687500
421,-50.781250
422,-46.875000
423,-46.875000
424,-42.968750
425,-39.062500
426,-39.062500
427,-35.156250
428,-31.250000
429,-27.343750
430,-27.343750
431,-23.437500
432,-23.437500
433,-19.531250
434,-15.625000
435,-15.625000
436,-11.718750
437,-7.812500
438,-3.906250
439,-3.906250
440,0.000000
441,3.906250
442,3.906250
443,7.812500
444,7.812500
445,11.718750
446,15.625000
447,15.625000
448,19.531250
449,23.437500
450,23.437500
451,27.343750
452,27.343750
453,31.250000
454,35.156250
455,35.156250
456,39.062500
457,39.062500
458,39.062500
459,46.875000
460,46.875000
461,46.875000
462,50.781250
463,54.687500
464,54.687500
465,58.593750
466,58.593750
467,62.500000
468,62.500000
469,66.406250
470,66.406250
471,66.406250
472,70.312500
473,74.218750
474,74.218750
475,78.125000
476,78.125000
477,78.125000
478,82.031250
479,82.031250
480,82.031250
481,85.937500
482,85.937500
483,89.843750
484,89.843750
485,93.750000
486,93.750000
487,97.656250
488,97.656250
489,97.656250
490,97.656250
491,101.562500
492,101.562500
493,101.562500
494,105.468750
495,105.468750
496,105.468750
497,105.468750
498,109.375000
499,109.375000
500,109.375000
501,109.375000
502,113.281250
503,113.281250
504,113.281250
505,113.281250
506,117.187500
507,117.187500
508,117.187500
509,117.187500
510,117.187500
511,117.187500
512,117.187500
513,121.093750
514,121.093750
515,121.093750
516,121.093750
517,121.093750
518,121.093750
519,121.093750
520,121.093750
521,121.093750
522,121.093750
523,125.000000
524,125.000000
525,125.000000
526,125.000000
527,125.000000
528,125.000000
529,125.000000
530,125.000000
531,125.000000
532,125.000000
533,125.000000
534,125.000000
535,125.000000
536,125.000000
537,125.000000
538,125.000000
539,125.000000
540,125.000000
541,125.000000
542,121.093750
543,125.000000
544,125.000000
545,125.000000
546,121.093750
547,125.000000
548,121.093750
549,121.093750
550,121.093750
551,121.093750
552,121.093750
553,121.093750
554,117.187500
555,117.187500
556,117.187500
557,117.187500
558,117.187500
559,113.281250
560,113.281250
561,113.281250
562,113.281250
563,113.281250
564,109.375000
565,109.375000
566,109.375000
567,109.375000
568,105.468750
569,105.468750
570,105.468750
571,105.468750
572,101.562500
573,101.562500
574,101.562500
575,97.656250
576,97.656250
577,97.656250
578,93.750000
579,93.750000
580,89.843750
581,89.843750
582,89.843750
583,85.937500
584,85.937500
585,85.937500
586,82.031250
587,82.031250
588,78.125000
589,78.125000
590,78.125000
591,74.218750
