Channel              :,CH1
Frequency            :,1.759kHz
Period               :,0.568ms
PK-PK                :,183.6mV
Probe attenuation    :,1X
Voltage per ADC value:,0.122070mV
Time interval        :,2.00000us

index,CH1_Voltage(mV)
1,60.546875
2,60.546875
3,60.546875
4,60.546875
5,58.593750
6,56.640625
7,56.640625
8,54.687500
9,52.734375
10,50.781250
11,48.828125
12,48.828125
13,46.875000
14,44.921875
15,42.968750
16,42.968750
17,41.015625
18,39.062500
19,37.109375
20,35.156250
21,33.203125
22,31.250000
23,29.296875
24,27.343750
25,27.343750
26,25.390625
27,23.437500
28,21.484375
29,19.531250
30,17.578125
31,15.625000
32,13.671875
33,11.718750
34,9.765625
35,7.812500
36,5.859375
37,3.906250
38,1.953125
39,0.000000
40,-1.953125
41,-3.906250
42,-5.859375
43,-7.812500
44,-9.765625
45,-11.718750
46,-13.671875
47,-15.625000
48,-17.578125
49,-19.531250
50,-21.484375
51,-23.437500
52,-23.437500
53,-27.343750
54,-29.296875
55,-31.250000
56,-33.203125
57,-33.203125
58,-37.109375
59,-39.062500
60,-41.015625
61,-41.015625
62,-42.968750
63,-44.921875
64,-48.828125
65,-48.828125
66,-50.781250
67,-52.734375
68,-52.734375
69,-56.640625
70,-56.640625
71,-60.546875
72,-60.546875
73,-62.500000
74,-64.453125
75,-64.453125
76,-66.406250
77,-68.359375
78,-70.312500
79,-70.312500
80,-72.265625
81,-74.218750
82,-74.218750
83,-76.171875
84,-78.125000
85,-78.125000
86,-80.078125
87,-80.078125
88,-82.031250
89,-82.031250
90,-83.984375
91,-83.984375
92,-85.937500
93,-87.890625
94,-87.890625
95,-87.890625
96,-87.890625
97,-89.843750
98,-89.843750
99,-91.796875
100,-91.796875
101,-91.796875
102,-91.796875
103,-91.796875
104,-93.750000
105,-93.750000
106,-93.750000
107,-93.750000
108,-93.750000
109,-93.750000
110,-93.750000
111,-93.750000
112,-93.750000
113,-93.750000
114,-93.750000
115,-93.750000
116,-93.750000
117,-91.796875
118,-91.796875
119,-91.796875
120,-91.796875
121,-91.796875
122,-89.843750
123,-89.843750
124,-89.843750
125,-89.843750
126,-87.890625
127,-87.890625
128,-85.937500
129,-85.937500
130,-85.937500
131,-83.984375
132,-83.984375
133,-82.031250
134,-80.078125
135,-80.078125
136,-80.078125
137,-78.125000
138,-76.171875
139,-76.171875
140,-74.218750
141,-74.218750
142,-72.265625
143,-70.312500
144,-68.359375
145,-68.359375
146,-66.406250
147,-66.406250
148,-62.500000
149,-62.500000
150,-60.546875
151,-58.593750
152,-58.593750
153,-54.687500
154,-54.687500
155,-52.734375
156,-50.781250
157,-48.828125
158,-46.875000
159,-44.921875
160,-42.968750
161,-41.015625
162,-39.062500
163,-37.109375
164,-37.109375
165,-33.203125
166,-31.250000
167,-31.250000
168,-29.296875
169,-27.343750
170,-25.390625
171,-23.437500
172,-21.484375
173,-19.531250
174,-15.625000
175,-15.625000
176,-13.671875
177,-9.765625
178,-9.765625
179,-7.812500
180,-3.906250
181,-3.906250
182,-1.953125
183,1.953125
184,3.906250
185,3.906250
186,7.812500
187,9.765625
188,9.765625
189,13.671875
190,15.625000
191,15.625000
192,17.578125
193,19.531250
194,23.437500
195,23.437500
196,25.390625
197,27.343750
198,29.296875
199,31.250000
200,33.203125
201,35.156250
202,35.156250
203,37.109375
204,39.062500
205,41.015625
206,42.968750
207,42.968750
208,44.921875
209,46.875000
210,48.828125
211,48.828125
212,50.781250
213,52.734375
214,54.687500
215,54.687500
216,56.640625
217,58.593750
218,58.593750
219,60.546875
220,62.500000
221,62.500000
222,64.453125
223,66.406250
224,66.406250
225,66.406250
226,68.359375
227,68.359375
228,70.312500
229,70.312500
230,72.265625
231,72.265625
232,74.218750
233,74.218750
234,74.218750
235,76.171875
236,76.171875
237,76.171875
238,78.125000
239,78.125000
240,78.125000
241,80.078125
242,80.078125
243,80.078125
244,80.078125
245,82.031250
246,82.031250
247,82.031250
248,82.031250
249,82.031250
250,82.031250
251,82.031250
252,82.031250
253,82.031250
254,82.031250
255,82.031250
256,82.031250
257,82.031250
258,82.031250
259,82.031250
260,82.031250
261,82.031250
262,80.078125
263,80.078125
264,80.078125
265,80.078125
266,80.078125
267,78.125000
268,78.125000
269,78.125000
270,78.125000
271,76.171875
272,76.171875
273,74.218750
274,74.218750
275,74.218750
276,72.265625
277,72.265625
278,70.312500
279,68.359375
280,68.359375
281,68.359375
282,66.406250
283,66.406250
284,64.453125
285,62.500000
286,62.500000
287,60.546875
288,60.546875
289,58.593750
290,56.640625
291,56.640625
292,54.687500
293,52.734375
294,50.781250
295,50.781250
296,48.828125
297,46.875000
298,44.921875
299,44.921875
300,42.968750
301,41.015625
302,39.062500
303,37.109375
304,35.156250
305,35.156250
306,33.203125
307,31.250000
308,29.296875
309,27.343750
310,25.390625
311,23.437500
312,23.437500
313,19.531250
314,17.578125
315,17.578125
316,15.625000
317,13.671875
318,11.718750
