"Latest: Time (s)";"Latest: Potential 1 (V)";"Latest: Potential 2 (V)"
0;-1,15995115995;-1,10134310134
0,004;-1,15995115995;-1,10134310134
0,008;-1,15995115995;-1,10134310134
0,012;-1,15995115995;-1,10622710623
0,016;-1,15995115995;-1,10622710623
0,02;-1,15995115995;-1,10622710623
0,024;-1,15995115995;-1,10622710623
0,028;-1,15995115995;-1,10622710623
0,032;-1,15995115995;-1,11111111111
0,036;-1,15995115995;-1,11111111111
0,04;-1,16483516484;-1,11111111111
0,044;-1,16483516484;-1,11111111111
0,048;-1,16483516484;-1,115995116
0,052;-1,16483516484;-1,115995116
0,056;-1,16483516484;-1,12087912088
0,06;-1,16483516484;-1,115995116
0,064;-1,16483516484;-1,12087912088
0,068;-1,15995115995;-1,12576312576
0,072;-1,15995115995;-1,12087912088
0,076;-1,15506715507;-1,115995116
0,08;-1,15995115995;-1,12087912088
0,084;-1,15995115995;-1,12087912088
0,088;-1,15995115995;-1,12087912088
0,092;1,17948717949;-1,09645909646
0,096;1,17948717949;-1,00854700855
0,1;1,17948717949;-0,925518925519
0,104;1,17948717949;-0,842490842491
0,108;1,18437118437;-0,764346764347
0,112;1,18437118437;-0,695970695971
0,116;1,18437118437;-0,622710622711
0,12;1,1746031746;-0,549450549451
0,124;1,17948717949;-0,485958485958
0,128;1,18437118437;-0,422466422466
0,132;1,18925518926;-0,363858363858
0,136;1,17948717949;-0,300366300366
0,14;1,18437118437;-0,246642246642
0,144;1,18925518926;-0,18315018315
0,148;1,18925518926;-0,13431013431
0,152;1,18925518926;-0,0854700854701
0,156;1,18925518926;-0,031746031746
0,16;1,18925518926;0,01221001221
0,164;1,18925518926;0,0610500610501
0,168;1,18925518926;0,100122100122
0,172;1,18925518926;0,139194139194
0,176;1,18925518926;0,178266178266
0,18;1,18925518926;0,217338217338
0,184;1,18925518926;0,25641025641
0,188;1,18437118437;0,290598290598
0,192;1,18437118437;0,324786324786
0,196;1,18925518926;0,358974358974
0,2;1,18925518926;0,383394383394
0,204;1,19413919414;0,417582417582
0,208;1,18925518926;0,446886446886
0,212;1,18925518926;0,47619047619
0,216;1,18925518926;0,510378510379
0,22;1,19413919414;0,529914529915
0,224;1,18925518926;0,554334554335
0,228;1,18925518926;0,583638583639
0,232;1,18925518926;0,603174603175
0,236;1,18925518926;0,622710622711
0,24;1,18925518926;0,642246642247
0,244;1,18925518926;0,656898656899
0,248;1,18925518926;0,681318681319
0,252;1,18925518926;0,700854700855
0,256;1,18925518926;0,720390720391
0,26;1,18925518926;0,735042735043
0,264;1,18925518926;0,754578754579
0,268;1,19413919414;0,769230769231
0,272;1,18925518926;0,783882783883
0,276;1,19413919414;0,803418803419
0,28;1,19413919414;0,813186813187
0,284;1,18925518926;0,832722832723
0,288;1,18925518926;0,847374847375
0,292;1,18925518926;0,852258852259
0,296;1,18925518926;0,866910866911
0,3;1,18925518926;0,876678876679
0,304;1,18925518926;0,891330891331
0,308;1,19413919414;0,901098901099
0,312;1,18925518926;0,905982905983
0,316;1,19413919414;0,915750915751
0,32;1,18437118437;0,925518925519
0,324;1,19413919414;0,940170940171
0,328;1,18437118437;0,945054945055
0,332;1,18925518926;0,954822954823
0,336;1,18925518926;0,964590964591
0,34;1,19413919414;0,969474969475
0,344;1,19413919414;0,979242979243
0,348;1,19413919414;0,984126984127
0,352;1,18925518926;0,989010989011
0,356;1,19413919414;1,00366300366
0,36;1,19413919414;1,00854700855
0,364;1,19413919414;1,01831501832
0,368;1,19413919414;1,0231990232
0,372;1,18925518926;1,0231990232
0,376;1,19413919414;1,03296703297
0,38;1,19413919414;1,03785103785
0,384;1,19413919414;1,04273504274
0,388;1,19413919414;1,04761904762
0,392;1,19413919414;1,0525030525
0,396;1,19413919414;1,05738705739
0,4;1,18925518926;1,06227106227
0,404;1,19413919414;1,06227106227
0,408;1,19413919414;1,06715506716
0,412;1,19413919414;1,07203907204
0,416;1,19413919414;1,07692307692
0,42;1,19902319902;1,08180708181
0,424;1,19902319902;1,08669108669
0,428;1,19902319902;1,09157509158
0,432;1,19413919414;1,09645909646
0,436;1,19413919414;1,10134310134
0,44;1,19413919414;1,10134310134
0,444;1,19413919414;1,10134310134
0,448;1,19413919414;1,10134310134
0,452;1,19413919414;1,10134310134
0,456;1,19413919414;1,11111111111
0,46;1,18925518926;1,115995116
0,464;1,18925518926;1,11111111111
0,468;1,19413919414;1,115995116
0,472;1,18925518926;1,115995116
0,476;1,19902319902;1,115995116
0,48;1,19413919414;1,115995116
0,484;1,19413919414;1,12087912088
0,488;1,19413919414;1,12576312576
0,492;1,19413919414;1,13553113553
0,496;1,19413919414;1,13064713065
0,5;1,19413919414;1,13553113553
0,504;1,19413919414;1,13553113553
0,508;1,19902319902;1,13553113553
0,512;1,19413919414;1,13553113553
0,516;1,19413919414;1,13064713065
0,52;1,18925518926;1,13553113553
0,524;1,19413919414;1,13553113553
0,528;1,18925518926;1,14041514042
0,532;1,19413919414;1,1452991453
0,536;1,18925518926;1,14041514042
0,54;1,18925518926;1,13553113553
0,544;1,19413919414;1,14041514042
0,548;1,19413919414;1,14041514042
0,552;1,19413919414;1,15018315018
0,556;1,19413919414;1,15018315018
0,56;1,19413919414;1,15018315018
0,564;1,18925518926;1,15018315018
0,568;1,19413919414;1,15018315018
0,572;1,18925518926;1,1452991453
0,576;1,18437118437;1,15018315018
0,58;1,1746031746;1,15018315018
0,584;-1,15506715507;1,06715506716
0,588;-1,15018315018;0,974358974359
0,592;-1,15018315018;0,896214896215
0,596;-1,15018315018;0,818070818071
0,6;-1,15506715507;0,744810744811
0,604;-1,15018315018;0,671550671551
0,608;-1,15506715507;0,603174603175
0,612;-1,15018315018;0,529914529915
0,616;-1,15018315018;0,466422466422
0,62;-1,15506715507;0,407814407814
0,624;-1,15506715507;0,344322344322
0,628;-1,15506715507;0,290598290598
0,632;-1,15506715507;0,227106227106
0,636;-1,15995115995;0,178266178266
0,64;-1,15506715507;0,129426129426
0,644;-1,15018315018;0,0805860805861
0,648;-1,15506715507;0,03663003663
0,652;-1,15506715507;-0,00732600732601
0,656;-1,15018315018;-0,0561660561661
0,66;-1,15506715507;-0,0952380952381
0,664;-1,15506715507;-0,13431013431
0,668;-1,15506715507;-0,173382173382
0,672;-1,15995115995;-0,212454212454
0,676;-1,15506715507;-0,251526251526
0,68;-1,15995115995;-0,285714285714
0,684;-1,15506715507;-0,319902319902
0,688;-1,15506715507;-0,344322344322
0,692;-1,15018315018;-0,37851037851
0,696;-1,15506715507;-0,407814407814
0,7;-1,15506715507;-0,432234432234
0,704;-1,15506715507;-0,461538461538
0,708;-1,15506715507;-0,490842490842
0,712;-1,15995115995;-0,515262515263
0,716;-1,15995115995;-0,539682539683
0,72;-1,15995115995;-0,564102564103
0,724;-1,15995115995;-0,583638583639
0,728;-1,15506715507;-0,608058608059
0,732;-1,15506715507;-0,627594627595
0,736;-1,15995115995;-0,647130647131
0,74;-1,15506715507;-0,666666666667
0,744;-1,15506715507;-0,681318681319
0,748;-1,15506715507;-0,700854700855
0,752;-1,15506715507;-0,710622710623
0,756;-1,15506715507;-0,730158730159
0,76;-1,15995115995;-0,749694749695
0,764;-1,15506715507;-0,759462759463
0,768;-1,15506715507;-0,778998778999
0,772;-1,15995115995;-0,793650793651
0,776;-1,15995115995;-0,808302808303
0,78;-1,16483516484;-0,818070818071
0,784;-1,16483516484;-0,832722832723
0,788;-1,16483516484;-0,847374847375
0,792;-1,16483516484;-0,862026862027
0,796;-1,15995115995;-0,866910866911
0,8;-1,15995115995;-0,881562881563
0,804;-1,15995115995;-0,891330891331
0,808;-1,15506715507;-0,896214896215
0,812;-1,15506715507;-0,905982905983
0,816;-1,15506715507;-0,915750915751
0,82;-1,15995115995;-0,920634920635
0,824;-1,15995115995;-0,930402930403
0,828;-1,15995115995;-0,940170940171
0,832;-1,15995115995;-0,945054945055
0,836;-1,16483516484;-0,959706959707
0,84;-1,15995115995;-0,964590964591
0,844;-1,16483516484;-0,974358974359
0,848;-1,15995115995;-0,979242979243
0,852;-1,15995115995;-0,984126984127
0,856;-1,15995115995;-0,989010989011
0,86;-1,15995115995;-0,993894993895
0,864;-1,15995115995;-0,998778998779
0,868;-1,15995115995;-1,00366300366
0,872;-1,15995115995;-1,00854700855
0,876;-1,15995115995;-1,01831501832
0,88;-1,15995115995;-1,01831501832
0,884;-1,15995115995;-1,0231990232
0,888;-1,16483516484;-1,02808302808
0,892;-1,15995115995;-1,03296703297
0,896;-1,16483516484;-1,04273504274
0,9;-1,15995115995;-1,04273504274
0,904;-1,15995115995;-1,04761904762
0,908;-1,15506715507;-1,04761904762
0,912;-1,15506715507;-1,0525030525
0,916;-1,15995115995;-1,05738705739
0,92;-1,15995115995;-1,05738705739
0,924;-1,15995115995;-1,06227106227
0,928;-1,15995115995;-1,06227106227
0,932;-1,15995115995;-1,06715506716
0,936;-1,16483516484;-1,07203907204
0,94;-1,15995115995;-1,07203907204
0,944;-1,15995115995;-1,08180708181
0,948;-1,15995115995;-1,08180708181
0,952;-1,15995115995;-1,08180708181
0,956;-1,15995115995;-1,08180708181
0,96;-1,15995115995;-1,08669108669
0,964;-1,15506715507;-1,08180708181
0,968;-1,15506715507;-1,08669108669
0,972;-1,15995115995;-1,09157509158
0,976;-1,15506715507;-1,09157509158
0,98;-1,15995115995;-1,09157509158
0,984;-1,15995115995;-1,09645909646
0,988;-1,15995115995;-1,09645909646
0,992;-1,15995115995;-1,09645909646
0,996;-1,16483516484;-1,10134310134
1;-1,15995115995;-1,10622710623
1,004;-1,15995115995;-1,10622710623
1,008;-1,16483516484;-1,10622710623
1,012;-1,15506715507;-1,10622710623
1,016;-1,15506715507;-1,10622710623
1,02;-1,15995115995;-1,10622710623
1,024;-1,15995115995;-1,10622710623
1,028;-1,16483516484;-1,115995116
1,032;-1,16483516484;-1,11111111111
1,036;-1,16483516484;-1,11111111111
1,04;-1,16483516484;-1,11111111111
1,044;-1,15995115995;-1,115995116
1,048;-1,15995115995;-1,115995116
1,052;-1,16971916972;-1,12087912088
1,056;-1,15995115995;-1,12087912088
1,06;-1,15995115995;-1,12576312576
1,064;-1,15995115995;-1,12087912088
1,068;-1,15995115995;-1,12087912088
1,072;-1,16483516484;-1,12087912088
1,076;-1,15995115995;-1,12087912088
1,08;-1,13064713065;-1,12087912088
1,084;1,18437118437;-1,03296703297
1,088;1,17948717949;-0,949938949939
1,092;1,17948717949;-0,866910866911
1,096;1,17948717949;-0,788766788767
1,1;1,17948717949;-0,715506715507
1,104;1,1746031746;-0,642246642247
1,108;1,18437118437;-0,573870573871
1,112;1,17948717949;-0,505494505495
1,116;1,18437118437;-0,442002442002
1,12;1,18437118437;-0,373626373626
1,124;1,18925518926;-0,315018315018
1,128;1,18437118437;-0,25641025641
1,132;1,18437118437;-0,202686202686
1,136;1,18437118437;-0,144078144078
1,14;1,18437118437;-0,0952380952381
