"Latest: Time (s)";"Latest: Potential 1 (V)";"Latest: Potential 2 (V)"
0;1,18437118437;0,818070818071
0,004;1,18925518926;0,803418803419
0,008;1,20879120879;0,788766788767
0,012;1,22344322344;0,774114774115
0,016;1,23321123321;0,754578754579
0,02;1,24297924298;0,735042735043
0,024;1,25274725275;0,715506715507
0,028;1,26251526252;0,700854700855
0,032;1,2673992674;0,676434676435
0,036;1,2673992674;0,652014652015
0,04;1,27228327228;0,632478632479
0,044;1,26251526252;0,608058608059
0,048;1,2673992674;0,578754578755
0,052;1,25763125763;0,549450549451
0,056;1,25274725275;0,520146520147
0,06;1,2380952381;0,495726495726
0,064;1,22832722833;0,471306471306
0,068;1,21855921856;0,437118437118
0,072;1,20390720391;0,407814407814
0,076;1,18925518926;0,373626373626
0,08;1,16971916972;0,344322344322
0,084;1,15018315018;0,315018315018
0,088;1,13553113553;0,28083028083
0,092;1,11111111111;0,251526251526
0,096;1,07692307692;0,217338217338
0,1;1,06227106227;0,188034188034
0,104;1,03785103785;0,15873015873
0,108;1,00854700855;0,119658119658
0,112;0,979242979243;0,0903540903541
0,116;0,945054945055;0,0561660561661
0,12;0,915750915751;0,026862026862
0,124;0,881562881563;-0,01221001221
0,128;0,852258852259;-0,046398046398
0,132;0,808302808303;-0,0757020757021
0,136;0,774114774115;-0,105006105006
0,14;0,735042735043;-0,13431013431
0,144;0,700854700855;-0,173382173382
0,148;0,656898656899;-0,212454212454
0,152;0,617826617827;-0,236874236874
0,156;0,578754578755;-0,266178266178
0,16;0,539682539683;-0,300366300366
0,164;0,490842490842;-0,334554334554
0,168;0,442002442002;-0,363858363858
0,172;0,40293040293;-0,388278388278
0,176;0,358974358974;-0,417582417582
0,18;0,319902319902;-0,446886446886
0,184;0,266178266178;-0,481074481074
0,188;0,217338217338;-0,500610500611
0,192;0,173382173382;-0,529914529915
0,196;0,129426129426;-0,549450549451
0,2;0,0854700854701;-0,578754578755
0,204;0,03663003663;-0,603174603175
0,208;-0,01221001221;-0,622710622711
0,212;-0,0610500610501;-0,647130647131
0,216;-0,105006105006;-0,666666666667
0,22;-0,144078144078;-0,686202686203
0,224;-0,202686202686;-0,715506715507
0,228;-0,246642246642;-0,725274725275
0,232;-0,290598290598;-0,739926739927
0,236;-0,334554334554;-0,754578754579
0,24;-0,383394383394;-0,778998778999
0,244;-0,432234432234;-0,798534798535
0,248;-0,47619047619;-0,803418803419
0,252;-0,515262515263;-0,813186813187
0,256;-0,554334554335;-0,822954822955
0,26;-0,603174603175;-0,837606837607
0,264;-0,647130647131;-0,847374847375
0,268;-0,681318681319;-0,852258852259
0,272;-0,720390720391;-0,857142857143
0,276;-0,764346764347;-0,866910866911
0,28;-0,798534798535;-0,871794871795
0,284;-0,837606837607;-0,871794871795
0,288;-0,871794871795;-0,866910866911
0,292;-0,901098901099;-0,871794871795
0,296;-0,940170940171;-0,871794871795
0,3;-0,974358974359;-0,871794871795
0,304;-0,998778998779;-0,871794871795
0,308;-1,03296703297;-0,862026862027
0,312;-1,0525030525;-0,857142857143
0,316;-1,08180708181;-0,852258852259
0,32;-1,11111111111;-0,837606837607
0,324;-1,13064713065;-0,832722832723
0,328;-1,15018315018;-0,813186813187
0,332;-1,16971916972;-0,803418803419
0,336;-1,18925518926;-0,793650793651
0,34;-1,20390720391;-0,778998778999
0,344;-1,21367521368;-0,759462759463
0,348;-1,22832722833;-0,739926739927
0,352;-1,23321123321;-0,725274725275
0,356;-1,24786324786;-0,705738705739
0,36;-1,25274725275;-0,681318681319
0,364;-1,25763125763;-0,656898656899
0,368;-1,25763125763;-0,637362637363
0,372;-1,26251526252;-0,622710622711
0,376;-1,26251526252;-0,598290598291
0,38;-1,25763125763;-0,568986568987
0,384;-1,25274725275;-0,539682539683
0,388;-1,24297924298;-0,510378510379
0,392;-1,24297924298;-0,490842490842
0,396;-1,2380952381;-0,461538461538
0,4;-1,22344322344;-0,437118437118
0,404;-1,20879120879;-0,407814407814
0,408;-1,19902319902;-0,373626373626
0,412;-1,17948717949;-0,349206349206
0,416;-1,15995115995;-0,315018315018
0,42;-1,1452991453;-0,285714285714
0,424;-1,12576312576;-0,246642246642
0,428;-1,10134310134;-0,222222222222
0,432;-1,07692307692;-0,188034188034
0,436;-1,0525030525;-0,153846153846
0,44;-1,0231990232;-0,114774114774
0,444;-0,989010989011;-0,0854700854701
0,448;-0,959706959707;-0,046398046398
0,452;-0,930402930403;-0,017094017094
0,456;-0,896214896215;0,017094017094
0,46;-0,862026862027;0,0561660561661
0,464;-0,822954822955;0,0854700854701
0,468;-0,783882783883;0,114774114774
0,472;-0,744810744811;0,153846153846
0,476;-0,705738705739;0,188034188034
0,48;-0,661782661783;0,217338217338
0,484;-0,627594627595;0,251526251526
0,488;-0,578754578755;0,285714285714
0,492;-0,539682539683;0,319902319902
0,496;-0,495726495726;0,344322344322
0,5;-0,446886446886;0,37851037851
0,504;-0,407814407814;0,412698412698
0,508;-0,358974358974;0,442002442002
0,512;-0,315018315018;0,466422466422
0,516;-0,271062271062;0,490842490842
0,52;-0,222222222222;0,520146520147
0,524;-0,173382173382;0,554334554335
0,528;-0,129426129426;0,573870573871
0,532;-0,0805860805861;0,598290598291
0,536;-0,03663003663;0,627594627595
0,54;0,017094017094;0,652014652015
0,544;0,0610500610501;0,671550671551
0,548;0,10989010989;0,691086691087
0,552;0,153846153846;0,715506715507
0,556;0,202686202686;0,730158730159
0,56;0,251526251526;0,754578754579
0,564;0,295482295482;0,764346764347
0,568;0,339438339438;0,788766788767
0,572;0,388278388278;0,803418803419
0,576;0,437118437118;0,813186813187
0,58;0,481074481074;0,827838827839
0,584;0,520146520147;0,837606837607
0,588;0,564102564103;0,847374847375
0,592;0,608058608059;0,862026862027
0,596;0,652014652015;0,876678876679
0,6;0,691086691087;0,876678876679
0,604;0,725274725275;0,881562881563
0,608;0,764346764347;0,891330891331
0,612;0,808302808303;0,896214896215
0,616;0,847374847375;0,891330891331
0,62;0,876678876679;0,891330891331
0,624;0,910866910867;0,896214896215
0,628;0,945054945055;0,901098901099
0,632;0,979242979243;0,891330891331
0,636;1,00366300366;0,886446886447
0,64;1,03296703297;0,881562881563
0,644;1,06227106227;0,876678876679
0,648;1,08669108669;0,871794871795
0,652;1,115995116;0,862026862027
0,656;1,12576312576;0,852258852259
0,66;1,15506715507;0,842490842491
