"Latest: Time (s)";"Latest: Potential 1 (V)";"Latest: Potential 2 (V)"
0;0,691086691087;0,974358974359
0,004;0,744810744811;0,989010989011
0,008;0,803418803419;1,00854700855
0,012;0,857142857143;1,02808302808
0,016;0,915750915751;1,04273504274
0,02;0,959706959707;1,04273504274
0,024;0,998778998779;1,0525030525
0,028;1,04273504274;1,05738705739
0,032;1,08669108669;1,05738705739
0,036;1,12087912088;1,04761904762
0,04;1,15506715507;1,03785103785
0,044;1,17948717949;1,02808302808
0,048;1,20390720391;1,01831501832
0,052;1,22344322344;0,998778998779
0,056;1,24297924298;0,974358974359
0,06;1,25274725275;0,949938949939
0,064;1,26251526252;0,925518925519
0,068;1,26251526252;0,896214896215
0,072;1,2673992674;0,862026862027
0,076;1,2673992674;0,822954822955
0,08;1,24786324786;0,778998778999
0,084;1,23321123321;0,735042735043
0,088;1,21855921856;0,695970695971
0,092;1,20390720391;0,652014652015
0,096;1,17948717949;0,598290598291
0,1;1,1452991453;0,544566544567
0,104;1,11111111111;0,495726495726
0,108;1,07692307692;0,442002442002
0,112;1,03785103785;0,388278388278
0,116;0,998778998779;0,339438339438
0,12;0,949938949939;0,275946275946
0,124;0,896214896215;0,217338217338
0,128;0,847374847375;0,15873015873
0,132;0,798534798535;0,100122100122
0,136;0,739926739927;0,03663003663
0,14;0,681318681319;-0,021978021978
0,144;0,612942612943;-0,0757020757021
0,148;0,554334554335;-0,139194139194
0,152;0,490842490842;-0,192918192918
0,156;0,422466422466;-0,25641025641
0,16;0,35409035409;-0,315018315018
0,164;0,28083028083;-0,368742368742
0,168;0,217338217338;-0,417582417582
0,172;0,148962148962;-0,47619047619
0,176;0,0708180708181;-0,525030525031
0,18;-0,002442002442;-0,578754578755
0,184;-0,0708180708181;-0,627594627595
0,188;-0,139194139194;-0,666666666667
0,192;-0,212454212454;-0,715506715507
0,196;-0,28083028083;-0,754578754579
0,2;-0,349206349206;-0,793650793651
0,204;-0,417582417582;-0,822954822955
0,208;-0,485958485958;-0,866910866911
0,212;-0,554334554335;-0,896214896215
