Vernier Format 2
magneetveld(stroom).cmbl 2/05/2022 09:57:52 ,
Latest
Stroom	Potential 1	Potential 2	Magneetveld
I	Pot 1	Pot 2	B
A	V	V	mT

0	2,3304029304	2,33406593407	-63,663003663
0,3	2,31721611722	2,34754578755	-90,3296703297
0,6	2,30173382173	2,36356532357	-121,831501832
0,9	2,2863003663	2,37904761905	-152,747252747
1,2	2,27018315018	2,3957020757	-185,518925519
1,5	2,25401709402	2,4125030525	-218,485958486
1,8	2,237997558	2,42905982906	-251,062271062
2,1	2,22236874237	2,44547008547	-283,101343101
2,4	2,2063003663	2,46227106227	-315,970695971
2,7	2,19106227106	2,47868131868	-347,619047619
