Vernier Format 2
magneetveld(stroom).cmbl 2/05/2022 09:43:36 ,
Latest
Stroom	Potential 1	Potential 2	Magneetveld
I	Pot 1	Pot 2	B
A	V	V	mT

0	2,33274725275	2,33147741148	-58,7301587302
0,3	2,32493284493	2,33929181929	-74,358974359
0,6	2,31677655678	2,34798534799	-91,2087912088
0,9	2,30808302808	2,35687423687	-108,791208791
1,2	2,29821733822	2,36688644689	-128,669108669
1,5	2,28908424908	2,37626373626	-147,179487179
1,8	2,27960927961	2,38588522589	-166,275946276
2,1	2,27032967033	2,39540903541	-185,079365079
2,4	2,26124542125	2,40507936508	-203,833943834
2,7	2,25196581197	2,41431013431	-222,344322344
