Vernier Format 2
magneetveld(afstand).cmbl 2/05/2022 10:44:04 ,
Latest
Afstand	Potential 1	Potential 2	Magneetveld
d	Pot 1	Pot 2	B
m	V	V	mT

0,074	2,28449328449	2,3810989011	-156,605616606
0,078	2,28884004884	2,37714285714	-148,302808303
0,082	2,29191697192	2,37372405372	-141,807081807
0,086	2,29357753358	2,37216117216	-138,583638584
0,09	2,29328449328	2,37196581197	-138,681318681
0,094	2,29137973138	2,37387057387	-142,490842491
0,098	2,28962148962	2,37611721612	-146,495726496
0,102	2,28473748474	2,38139194139	-156,654456654
