Vernier Format 2
magneetveld(afstand).cmbl 2/05/2022 11:14:46 ,
Latest
Afstand	Potential 1	Potential 2	Magneetveld
d	Pot 1	Pot 2	B
m	V	V	mT

0,065	2,29328449328	2,37211233211	-138,827838828
0,067	2,29338217338	2,37181929182	-138,437118437
0,069	2,29387057387	2,37196581197	-138,095238095
0,071	2,29406593407	2,37133089133	-137,264957265
0,073	2,29455433455	2,37079365079	-136,239316239
0,075	2,29572649573	2,36947496947	-133,748473748
0,077	2,29694749695	2,36879120879	-131,843711844
0,079	2,29777777778	2,36752136752	-129,743589744
0,081	2,29982905983	2,36586080586	-126,031746032
0,083	2,30153846154	2,36405372405	-122,515262515
0,085	2,30339438339	2,36234432234	-118,94993895
0,087	2,30559218559	2,36024420024	-114,652014652
0,089	2,30778998779	2,35765567766	-109,865689866
0,091	2,30984126984	2,35614163614	-106,3003663
0,093	2,31208791209	2,35394383394	-101,855921856
0,095	2,31413919414	2,35174603175	-97,6068376068
0,097	2,31594627595	2,34998778999	-94,0415140415
0,099	2,31785103785	2,34808302808	-90,231990232
0,101	2,31975579976	2,34612942613	-86,3736263736
0,103	2,32112332112	2,34476190476	-83,6385836386
0,105	2,32249084249	2,34315018315	-80,6593406593
0,107	2,32346764347	2,34212454212	-78,6568986569
0,109	2,32493284493	2,34085470085	-75,9218559219
0,111	2,32605616606	2,33953601954	-73,4798534799
